Title,Valence,Genre,Energy
Abba - Dancing Queen (Official Music Video Remastered),0.754,europop,0.87
Extreme - More Than Words,0.239,funk metal,0.134
Diablo Swing Orchestra - Heroines (1),0.573,dark cabaret,0.88
MAGIC! - Rude (Official Video),0.925,pop,0.758
Graveyard - Endless Night,0.44,modern blues rock,0.901
Jason Derulo - Swalla (feat. Nicki Minaj & Ty Dolla $ign) [Official Music Video],0.782,dance pop,0.817
Sufjan Stevens - I Walked,0.727,art pop,0.451
Mary J. Blige - Family Affair (Official Music Video),0.969,dance pop,0.551
The Weeknd - Blinding Lights (Official Video),0.334,canadian contemporary r&b,0.73
Chris Stapleton - Tennessee Whiskey (Official Audio),0.512,contemporary country,0.37
Hoobastank - The Reason (Official Music Video),0.0682,alternative metal,0.671
Small Black - Despicable Dogs (Washed Out Remix) (1),0.511,chillwave,0.841
Death Grips - The Fever (Aye Aye),0.225,escape room,0.94
Sufjan Stevens - Too Much,0.611,art pop,0.815
Brantley Gilbert - Bottoms Up,0.545,contemporary country,0.857
Lil Nas X - MONTERO (Call Me By Your Name) (Official Video),0.71,lgbtq+ hip hop,0.503
Work Drugs - License to Drive,0.804,chillwave,0.755
The Black Eyed Peas - Pump It (Official Music Video),0.755,fake,0.824
Ed Sheeran - Bad Habits [Official Video],0.537,pop,0.893
Blue Sky Black Death - Gold In Gold Out,0.362,abstract hip hop,0.68
Shahmen - Mark,0.151,spiritual hip hop,0.494
Ed Sheeran - Perfect (Official Music Video),0.168,pop,0.448
Com Truise - Cyanide Sisters,0.504,chillwave,0.45
Death Grips - Guillotine,0.196,escape room,0.64
Taylor Swift - Mean,0.621,pop,0.692
50 Cent - Just A Lil Bit,0.527,east coast hip hop,0.692
Ólafur Arnalds - Þú ert sólin,0.0742,compositional ambient,0.108
Sleepmakeswaves - One Day You Will Teach Me to Let Go of My Fears (1),0.0499,australian post-rock,0.56
System Of A Down - Aerials (Official HD Video),0.227,alternative metal,0.922
Waxahatchee - American Weekend,0.0748,alabama indie,0.347
Taylor Swift - I Knew You Were Trouble,0.679,pop,0.469
a-ha - Take On Me (Official Video) [Remastered in 4K],0.876,new romantic,0.902
Martin Garrix - Animals (Official Video),0.0376,dutch edm,0.868
LANCO - Greatest Love Story,0.621,contemporary country,0.617
The Protomen - Light Up The Night,0.27,nerdcore,0.892
J Balvin - Yo Te Lo Dije,0.955,reggaeton,0.609
Mac DeMarco - Rock and Roll Night Club,0.609,edmonton indie,0.714
Nils Frahm - You,0.1,compositional ambient,0.00416
Ariana Grande - no tears left to cry (Official Video),0.354,pop,0.713
Calvin Harris - Summer,0.743,dance pop,0.856
Avicii - Wake Me Up (Official Video),0.643,dance pop,0.783
Crim3s - Still Goin,0.335,witch house,0.737
Dire Straits - Sultans Of Swing (Official Music Video),0.923,album rock,0.868
Florrie - Left Too Late,0.689,electropop,0.819
Bebe Rexha - Meant to Be (feat. Florida Georgia Line),0.579,dance pop,0.783
Travis Scott - MY EYES,0.28,hip hop,0.621
Beyoncé - Halo,0.472,pop,0.72
Billie the Vision & the Dancers - A Man From Argentina,0.599,swedish indie pop,0.47
Eminem - Without Me (Official Music Video),0.662,detroit hip hop,0.669
Yeasayer - Sunrise,0.639,alternative dance,0.72
Nelly - Just A Dream (Official Music Video),0.103,dance pop,0.752
Red Fang - Number Thirteen,0.361,portland metal,0.96
The Soul's Release - Catching Fireflies,0.0718,compositional ambient,0.411
Pharrell Williams - Happy (Video),0.962,dance pop,0.822
Kendrick Lamar - HUMBLE.,0.421,conscious hip hop,0.621
Toosii - Favorite Song (Official Video),0.413,north carolina hip hop,0.367
"Parks, Squares and Alleys - Youth",0.288,modern dream pop,0.643
Carrie Underwood - Before He Cheats (Official Video),0.29,classic oklahoma country,0.749
Nirvana - Smells Like Teen Spirit,0.72,grunge,0.912
Cloud Nothings - Stay Useless,0.631,cleveland indie,0.92
"Eurythmics, Annie Lennox, Dave Stewart - Sweet Dreams (Are Made Of This) (Official Video)",0.875,dance rock,0.711
Imagine Dragons - Believer (Official Music Video),0.666,modern rock,0.78
Luke Bryan - Do I (Official Music Video),0.375,contemporary country,0.728
KALEO - Way Down We Go (Official Music Video),0.337,icelandic indie,0.505
Taylor Swift - Blank Space,0.583,pop,0.678
VACATIONER - Trip,0.505,philly indie,0.584
Jelly Roll - Save Me (New Unreleased Video),0.355,country rap,0.404
"Luke Bryan - Huntin, Fishin, And Lovin Every Day (Official Music Video)",0.395,contemporary country,0.81
Blackbird Blackbird - Hawaii (Niva remix),0.842,chillwave,0.741
Florida Georgia Line - H.O.L.Y.,0.564,contemporary country,0.666
Women - Eyesore,0.362,experimental rock,0.624
Brett Young - Mercy,0.219,contemporary country,0.367
Johnny Cash - Hurt,0.163,arkansas country,0.392
The Police - Every Breath You Take (Official Music Video),0.74,album rock,0.452
Alai Oli - Крылья,0.465,russian alt pop,0.744
Culture Club - Karma Chameleon (Official Music Video),0.894,new romantic,0.73
G-Eazy & Halsey - Him & I (Official Video),0.191,indie pop rap,0.731
Aqua - Barbie Girl (Official Music Video),0.962,bubblegum dance,0.879
Harry Styles - Sign of the Times (Official Video),0.222,pop,0.595
System Of A Down - Chop Suey! (Official HD Video),0.287,alternative metal,0.934
Avicii - Wake Me Up,0.643,dance pop,0.783
Poets of the Fall - Maybe Tomorrow is a Better Day,0.405,finnish alternative rock,0.893
Maroon 5 - Memories (Official Video),0.595,pop,0.327
Taylor Swift - Look What You Made Me Do,0.506,pop,0.709
Shania Twain - Youre Still The One (Official Music Video),0.634,canadian country,0.494
George Michael - Careless Whisper (Official Video),0.803,new wave pop,0.628
Bruno Mars - Just The Way You Are (Official Music Video),0.424,dance pop,0.841
Coldplay - Yellow,0.285,permanent wave,0.661
Miley Cyrus - Party In The U.S.A. (Official Video),0.47,pop,0.698
Eminem - Venom,0.46,detroit hip hop,0.794
Post Malone - Better Now,0.341,dfw rap,0.578
Backstreet Boys - I Want It That Way (Official HD Video),0.482,boy band,0.694
Post Malone - Circles,0.553,dfw rap,0.762
Counting Crows - Mr. Jones (Official Music Video),0.726,neo mellow,0.817
Adele - Rolling in the Deep (Official Music Video),0.507,british soul,0.769
Sinéad O'Connor - Nothing Compares 2 U (Official Music Video) [HD],0.161,lilith,0.574
Eminem - Sing For The Moment (Official Music Video),0.185,detroit hip hop,0.824
Bruno Mars - The Lazy Song (Official Music Video),0.955,dance pop,0.711
50 Cent - Many Men (Wish Death) (Dirty Version),0.416,east coast hip hop,0.826
Audioslave - Like a Stone (Official Video),0.516,alternative metal,0.568
Coldplay - Clocks (Official Video),0.255,permanent wave,0.749
OMI - Cheerleader (Felix Jaehn Remix) (Official Video) [Ultra Records],0.594,reggae fusion,0.68
Dua Lipa - New Rules (Official Music Video),0.608,dance pop,0.7
Eminem - When I'm Gone (Official Music Video),0.725,detroit hip hop,0.745
Gardens & Villa - Black Hills,0.579,chillwave,0.667
Calvin Harris & Disciples - How Deep Is Your Love,0.336,dance pop,0.868
We Came As Romans - Mis__Understanding (1),0.223,christian rock,0.984
Carly Rae Jepsen - Call Me Maybe,0.66,canadian pop,0.58
System Of A Down - Toxicity (Official HD Video),0.48,alternative metal,0.873
Car Seat Headrest - Sober To Death,0.236,furry,0.543
Blake Shelton - God's Country (Official Music Video),0.212,classic oklahoma country,0.754
Luke Combs - When It Rains It Pours,0.625,contemporary country,0.801
Toto - Africa (Official HD Video),0.732,album rock,0.373
Gucci Mane - I Get The Bag feat. Migos [Official Music Video],0.425,atl hip hop,0.633
Morgan Wallen - Whiskey Glasses (Official Video),0.707,contemporary country,0.68
65daysofstatic - Tiger Girl,0.093,instrumental post-rock,0.875
Josh Turner - Your Man (Official Music Video),0.785,contemporary country,0.637
Jason Derulo - Wiggle feat. Snoop Dogg [Official Music Video],0.721,dance pop,0.621
Katy Perry - Wide Awake (Official Video),0.555,pop,0.681
Motorama - Compass,0.58,deep gothic post-punk,0.885
Alan Jackson - Livin' On Love (Official Music Video),0.67,country,0.55
Lady Antebellum - Need You Now,0.231,contemporary country,0.622
Aerosmith - I Don't Want to Miss a Thing (Official HD Video),0.144,album rock,0.649
Lady Gaga - Bad Romance (Official Music Video),0.714,art pop,0.921
Alicia Keys - No One (Official Music Video),0.152,neo soul,0.552
Elton John - Sacrifice,0.487,glam rock,0.422
Marshmello & Kane Brown - One Thing Right (Official Music Video),0.442,brostep,0.625
twenty one pilots - Ride (Official Video),0.566,modern rock,0.713
Charlie Puth - Attention [Official Video],0.797,pop,0.613
Morgan Wallen - Wasted On You (The Dangerous Sessions),0.252,contemporary country,0.657
Sam Hunt - Take Your Time (Official Music Video),0.483,contemporary country,0.719
Kenny Rogers - The Gambler,0.86,classic country pop,0.501
"Kendrick Lamar, SZA - All The Stars",0.552,conscious hip hop,0.633
Nelly Furtado - Say It Right (Official Music Video),0.809,canadian latin,0.872
Chrome Sparks - All There Is (Feat. Steffaloo),0.291,chillwave,0.737
Alan Jackson - Chattahoochee (Official HD Video),0.819,country,0.706
Maroon 5 - Sugar (Official Music Video),0.884,pop,0.788
Lady Gaga - Million Reasons (Official Music Video),0.154,art pop,0.423
Lauren Daigle - You Say (Official Music Video),0.0797,ccm,0.632
MACKLEMORE FEAT LIL YACHTY - MARMALADE (OFFICIAL MUSIC VIDEO),0.494,pop rap,0.583
Jens Lekman - An Argument With Myself,0.814,chamber pop,0.789
Blanco Brown - The Git Up (Official Music Video),0.811,black americana,0.678
Brambles - In the Androgynous Dark,0.0735,australian ambient,0.116
KDrew - Bullseye,0.439,brostep,0.729
Ne-Yo - Miss Independent,0.713,dance pop,0.683
Extreme - More Than Words (Official Music Video),0.239,funk metal,0.134
"Becky G, Bad Bunny - Mayores (Official Video)",0.874,latin pop,0.836
OneRepublic - Counting Stars,0.477,piano rock,0.705
Sia - Chandelier (Official Video),0.572,australian dance,0.787
Coldplay - Fix You (Official Video),0.124,permanent wave,0.417
Shawn Mendes - Stitches (Official Music Video),0.755,canadian pop,0.754
Ed Sheeran - Shivers [Official Video],0.822,pop,0.859
Survivor - Eye Of The Tiger,0.552,album rock,0.438
Nicki Minaj - Anaconda,0.646,hip pop,0.605
"The Kid LAROI, Justin Bieber - STAY (Official Video)",0.478,australian hip hop,0.764
Cutting Crew - (I Just) Died In Your Arms (Official Music Video),0.507,album rock,0.726
